Question,Task,Accuracy,Precision,Recall,F1_Score,Samples
1,Consolidation Detection,67.0,20.0,29.9,24.0,443
2,ET Tube & Carina Distance,89.7,59.3,56.1,57.7,456
3,Nodule Detection,58.2,14.1,44.8,21.5,455
4,COVID-19 Detection,23.4,8.2,100.0,15.1,440
5,Mediastinum Assessment,56.4,49.5,52.3,50.9,456
6,Left Lung Disease Identification,60.5,9.0,33.3,11.4,456
7,Right Lung Disease Identification,60.8,9.3,32.4,11.7,456
8,Pneumothorax Detection,59.0,11.7,42.9,18.3,456
9,Pleural Effusion Location,50.9,20.7,67.5,31.7,456
10,Pneumonia Detection,56.4,27.8,58.3,37.6,456
11,Hilar Lymphadenopathy Detection,59.4,6.2,35.5,10.6,456
AVERAGE,Overall Performance,58.3,21.4,50.3,26.4,4986
