Question,Task,Accuracy,Precision,Recall,F1_Score,Samples
1,Consolidation Detection,29.6,19.7,91.9,32.5,500
2,ET Tube & Carina Distance,0.0,0.0,0.0,0.0,0
3,Nodule Detection,0.0,0.0,0.0,0.0,0
4,COVID-19 Detection,0.0,0.0,0.0,0.0,0
5,Mediastinum Assessment,0.0,0.0,0.0,0.0,0
6,Left Lung Disease Identification,0.0,0.0,0.0,0.0,0
7,Right Lung Disease Identification,0.0,0.0,0.0,0.0,0
8,Pneumothorax Detection,0.0,0.0,0.0,0.0,0
9,Pleural Effusion Location,0.0,0.0,0.0,0.0,0
10,Pneumonia Detection,0.0,0.0,0.0,0.0,0
11,Hilar Lymphadenopathy Detection,0.0,0.0,0.0,0.0,0
AVERAGE,Overall Performance,29.6,19.7,91.9,32.5,500
