Question,Task,Accuracy,Precision,Recall,F1_Score,Samples
1,Consolidation Detection,78.0,44.6,52.9,48.4,500
2,ET Tube & Carina Distance,13.0,12.7,100.0,22.5,500
3,Nodule Detection,22.0,13.6,95.3,23.8,500
4,COVID-19 Detection,60.2,11.6,75.8,20.2,500
5,Mediastinum Assessment,45.6,0.0,0.0,0.0,500
6,Left Lung Disease Identification,0.0,0.0,0.0,0.0,500
7,Right Lung Disease Identification,0.2,0.0,0.0,0.0,500
8,Pneumothorax Detection,89.6,53.3,15.1,23.5,500
9,Pleural Effusion Location,25.8,18.3,100.0,30.9,500
10,Pneumonia Detection,48.8,28.2,88.9,42.9,500
11,Hilar Lymphadenopathy Detection,58.0,8.1,48.6,13.9,500
AVERAGE,Overall Performance,40.1,17.3,52.4,20.6,5500
